message,label
"Congratulations! You won 50000 rupees. Click this link to claim.",scam
"Your account has been blocked. Verify now to avoid suspension.",scam
"You have won a lottery prize. Send your bank details.",scam
"URGENT! Your KYC is expired. Update immediately.",scam
"Free recharge available. Click the link now.",scam
"Your bank account will be closed. Verify your details now.",scam
"Click this link to receive your cashback.",scam
"You have won a free gift. Pay delivery charges now.",scam
"Your ATM card will be blocked. Update KYC immediately.",scam
"Congratulations! You are selected for a cash prize.",scam
"Your OTP is 458921. Do not share it with anyone.",safe
"Your Amazon order has been delivered.",safe
"Meeting is scheduled tomorrow at 10 AM.",safe
"Please call me when you are free.",safe
"Your electricity bill payment was successful.",safe
"Happy birthday! Have a wonderful day.",safe
"Your college assignment submission is tomorrow.",safe
"Your bank statement is ready.",safe
"Your train ticket has been booked successfully.",safe
"Your food order is on the way.",safe
"Your class starts at 9 AM tomorrow.",safe
"Your payment of 500 rupees was successful.",safe
"Please bring your ID card tomorrow.",safe
"Your parcel will arrive tomorrow.",safe
"Thank you for shopping with us.",safe
